filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F115W,1.154,0.225,2022-06-29T04:08:52.814Z,NRCA1,2048,2048,0.0761868357658386,0.07646867,jw01324001001_10201_00002_nrca1_rate.fits,1,1,NIRCAM,311.366,2.9628,0.2257263570070266
F356W,3.568,0.781,2022-06-29T07:04:25.386Z,NRCBLONG,2048,2048,0.29666927,0.2951725,jw01324001001_15201_00002_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.376,0.11154764551999999
F444W,4.408,1.029,2022-06-28T22:13:50.997Z,NRCALONG,2048,2048,0.74781543,0.751835,jw01324001001_03201_00001_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.3925,0.293517556275
F090W,0.902,0.194,2022-06-28T22:04:43.428Z,NRCA3,2048,2048,0.07485921,0.07504212,jw01324001001_02201_00001_nrca3_rate.fits,1,1,NIRCAM,311.366,2.954,0.22113410634
F115W,1.154,0.225,2022-06-29T05:18:29.308Z,NRCB4,2048,2048,0.0917387902736663,0.09124037,jw01324001001_11201_00003_nrcb4_rate.fits,1,1,NIRCAM,1159.571,2.6985,0.24755712555348852
F115W,1.154,0.225,2022-06-29T04:16:02.126Z,NRCB3,2048,2048,0.0781177878379821,0.07824996,jw01324001001_10201_00003_nrcb3_rate.fits,1,1,NIRCAM,311.366,3.1863,0.24890670738816237
F090W,0.902,0.194,2022-06-28T22:13:50.997Z,NRCA4,2048,2048,0.0761142,0.07593886,jw01324001001_03201_00001_nrca4_rate.fits,1,1,NIRCAM,1159.571,2.9096,0.22146187632000003
F444W,4.408,1.029,2022-06-29T05:41:34.523Z,NRCALONG,2048,2048,0.745764,0.7497834,jw01324001001_11201_00004_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.3925,0.29271237
F150W,1.501,0.318,2022-06-29T07:04:25.386Z,NRCB3,2048,2048,0.103870176,0.103427306,jw01324001001_15201_00002_nrcb3_rate.fits,1,1,NIRCAM,1159.571,2.3518,0.24428187991679998
F150W,1.501,0.318,2022-06-29T07:27:19.849Z,NRCA1,2048,2048,0.10347174,0.1033728,jw01324001001_15201_00003_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.2512,0.232935581088
F200W,1.989,0.457,2022-06-29T09:56:01.888Z,NRCB1,2048,2048,0.0958223044872284,0.09546805,jw01324001001_17201_00004_nrcb1_rate.fits,1,1,NIRCAM,1159.571,2.0223,0.193781446364522
F115W,1.154,0.225,2022-06-29T03:13:56.420Z,NRCB1,2048,2048,0.0732667744159698,0.07307482,jw01324001001_09201_00003_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.2719,0.23972155921161156
F090W,0.902,0.194,2022-06-29T02:00:12.886Z,NRCB2,2048,2048,0.061365257948637,0.06107256,jw01324001001_06201_00002_nrcb2_rate.fits,1,1,NIRCAM,311.366,3.4274,0.21032328509315845
F115W,1.154,0.225,2022-06-29T02:50:51.589Z,NRCA3,2048,2048,0.08266168,0.08250596,jw01324001001_09201_00002_nrca3_rate.fits,1,1,NIRCAM,1159.571,2.9486,0.24373622964799999
F115W,1.154,0.225,2022-06-29T04:32:40.831Z,NRCA2,2048,2048,0.0763782858848571,0.076252624,jw01324001001_11201_00001_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.1012,0.23686434018611882
F090W,0.902,0.194,2022-06-28T22:59:39.475Z,NRCB2,2048,2048,0.065473198890686,0.06520498,jw01324001001_03201_00003_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.4274,0.2244028418779372
F090W,0.902,0.194,2022-06-29T01:28:00.458Z,NRCA2,2048,2048,0.0671917647123336,0.067099206,jw01324001001_05201_00004_nrca2_rate.fits,1,1,NIRCAM,1159.571,3.2824,0.2205502484917638
F115W,1.154,0.225,2022-06-29T02:27:46.374Z,NRCB2,2048,2048,0.0779058635234832,0.07758206,jw01324001001_09201_00001_nrcb2_rate.fits,1,1,NIRCAM,1159.571,3.1282,0.24370512227416014
F090W,0.902,0.194,2022-06-29T01:53:03.574Z,NRCA3,2048,2048,0.072446495,0.07266984,jw01324001001_06201_00001_nrca3_rate.fits,1,1,NIRCAM,311.366,2.954,0.21400694623000002
F150W,1.501,0.318,2022-06-29T07:27:19.657Z,NRCB4,2048,2048,0.11757436,0.11691286,jw01324001001_15201_00003_nrcb4_rate.fits,1,1,NIRCAM,1159.571,2.0288,0.238534861568
F444W,4.408,1.029,2022-06-28T22:36:45.204Z,NRCBLONG,2048,2048,0.7770239,0.7779577,jw01324001001_03201_00002_nrcblong_rate.fits,1,1,NIRCAM,1159.571,0.3728,0.28967450992
F356W,3.568,0.781,2022-06-29T06:41:20.556Z,NRCALONG,2048,2048,0.26356003,0.26443726,jw01324001001_15201_00001_nrcalong_rate.fits,1,1,NIRCAM,1159.571,0.4047,0.10666274414100001
F115W,1.154,0.225,2022-06-29T05:18:29.436Z,NRCA1,2048,2048,0.0809452608227729,0.08082994,jw01324001001_11201_00003_nrca1_rate.fits,1,1,NIRCAM,1159.571,2.9628,0.23982461876571154
F090W,0.902,0.194,2022-06-28T22:13:50.869Z,NRCB1,2048,2048,0.06388708,0.063731745,jw01324001001_03201_00001_nrcb1_rate.fits,1,1,NIRCAM,1159.571,3.564,0.22769355312
F115W,1.154,0.225,2022-06-29T04:08:52.686Z,NRCB4,2048,2048,0.08440275,0.083905704,jw01324001001_10201_00002_nrcb4_rate.fits,1,1,NIRCAM,311.366,2.6985,0.22776082087500002
