filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F200W 1.989 0.457 2022-06-29T10:28:14.828Z NRCA3 2048 2048 0.10785108059644699 0.10733563 jw01324001001_18201_00002_nrca3_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:35:24.012Z NRCB1 2048 2048 0.09769857674837112 0.09706246 jw01324001001_18201_00003_nrcb1_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T06:32:12.922Z NRCA1 2048 2048 0.08946556 0.089087985 jw01324001001_14201_00001_nrca1_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T02:07:22.389Z NRCB1 2048 2048 0.06492882 0.06456968 jw01324001001_06201_00003_nrcb1_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T02:00:13.078Z NRCA3 2048 2048 0.0768405944108963 0.077022605 jw01324001001_06201_00002_nrca3_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T02:50:51.397Z NRCB2 2048 2048 0.077824175 0.07747023 jw01324001001_09201_00002_nrcb2_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:32:40.639Z NRCB3 2048 2048 0.076428555 0.07615357 jw01324001001_11201_00001_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:01:43.183Z NRCB4 2048 2048 0.09335970133543015 0.092618704 jw01324001001_10201_00001_nrcb4_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-28T22:59:39.603Z NRCA3 2048 2048 0.07370665669441223 0.07351297 jw01324001001_03201_00003_nrca3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:36:45.204Z NRCB1 2048 2048 0.06351608 0.063380025 jw01324001001_03201_00002_nrcb1_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:09:26.876Z NRCB4 2048 2048 0.0698181539773941 0.069577046 jw01324001001_04201_00004_nrcb4_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T01:28:00.266Z NRCB3 2048 2048 0.06527291983366013 0.065076955 jw01324001001_05201_00004_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T02:27:46.566Z NRCA3 2048 2048 0.07984642 0.07970625 jw01324001001_09201_00001_nrca3_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T02:18:38.997Z NRCA4 2048 2048 0.08140734 0.081751056 jw01324001001_08201_00001_nrca4_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T01:53:03.446Z NRCB2 2048 2048 0.072422475 0.072476014 jw01324001001_06201_00001_nrcb2_rate.fits 001 001 NIRCAM 311.366
F277W 2.762 0.683 2022-06-29T10:20:54.381Z NRCBLONG 2048 2048 0.2692258954048157 0.2672296 jw01324001001_18201_00001_nrcblong_rate.fits 001 001 NIRCAM 311.366
F277W 2.762 0.683 2022-06-29T09:10:13.347Z NRCBLONG 2048 2048 0.27001372 0.26863393 jw01324001001_17201_00002_nrcblong_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:55:35.166Z NRCA2 2048 2048 0.07574526220560074 0.07561954 jw01324001001_11201_00002_nrca2_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:36:45.332Z NRCA4 2048 2048 0.07650233805179596 0.076335125 jw01324001001_03201_00002_nrca4_rate.fits 001 001 NIRCAM 1159.571
F115W 1.154 0.225 2022-06-29T04:01:43.375Z NRCA1 2048 2048 0.07320964 0.07345852 jw01324001001_10201_00001_nrca1_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T05:18:29.308Z NRCBLONG 2048 2048 0.77346545 0.7743438 jw01324001001_11201_00003_nrcblong_rate.fits 001 001 NIRCAM 1159.571
F150W 1.501 0.318 2022-06-29T08:36:56.307Z NRCB2 2048 2048 0.1029101312160492 0.10228035 jw01324001001_16201_00004_nrcb2_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T06:32:12.794Z NRCB4 2048 2048 0.11577895 0.11505346 jw01324001001_14201_00001_nrcb4_rate.fits 001 001 NIRCAM 311.366
F090W 0.902 0.194 2022-06-29T02:07:22.517Z NRCA4 2048 2048 0.06855421 0.06837956 jw01324001001_06201_00003_nrca4_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T06:41:20.300Z NRCB3 2048 2048 0.10443083941936493 0.10398105 jw01324001001_15201_00001_nrcb3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T22:04:43.300Z NRCB2 2048 2048 0.06781653 0.06753261 jw01324001001_02201_00001_nrcb2_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:16:02.318Z NRCA2 2048 2048 0.06635141372680664 0.06583618 jw01324001001_10201_00003_nrca2_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T07:04:25.578Z NRCA2 2048 2048 0.0980146 0.09780954 jw01324001001_15201_00002_nrca2_rate.fits 001 001 NIRCAM 1159.571
F277W 2.762 0.683 2022-06-29T08:47:08.516Z NRCALONG 2048 2048 0.23925053 0.23988883 jw01324001001_17201_00001_nrcalong_rate.fits 001 001 NIRCAM 1159.571
F444W 4.408 1.029 2022-06-29T01:28:00.458Z NRCALONG 2048 2048 0.7481148 0.7534863 jw01324001001_05201_00004_nrcalong_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:09:27.004Z NRCA1 2048 2048 0.06360965222120285 0.06315355 jw01324001001_04201_00004_nrca1_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T02:18:38.805Z NRCB1 2048 2048 0.07930047 0.079397544 jw01324001001_08201_00001_nrcb1_rate.fits 001 001 NIRCAM 311.366
F277W 2.762 0.683 2022-06-29T10:28:14.828Z NRCALONG 2048 2048 0.23913069 0.23874234 jw01324001001_18201_00002_nrcalong_rate.fits 001 001 NIRCAM 311.366
F356W 3.568 0.781 2022-06-29T08:36:56.499Z NRCALONG 2048 2048 0.25976712 0.25932375 jw01324001001_16201_00004_nrcalong_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-28T23:47:58.558Z NRCALONG 2048 2048 0.75620687 0.75873137 jw01324001001_04201_00001_nrcalong_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T07:50:14.183Z NRCA3 2048 2048 0.10510283 0.10488139 jw01324001001_15201_00004_nrca3_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-29T00:02:17.373Z NRCB2 2048 2048 0.065929346 0.06550202 jw01324001001_04201_00003_nrcb2_rate.fits 001 001 NIRCAM 311.366
F444W 4.408 1.029 2022-06-29T06:13:46.951Z NRCBLONG 2048 2048 0.7745113 0.773294 jw01324001001_12201_00002_nrcblong_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T08:15:06.612Z NRCA2 2048 2048 0.10173793 0.1012459 jw01324001001_16201_00001_nrca2_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T10:20:54.381Z NRCB4 2048 2048 0.105287395 0.1041515 jw01324001001_18201_00001_nrcb4_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T04:23:11.565Z NRCB1 2048 2048 0.08090907335281372 0.081074774 jw01324001001_10201_00004_nrcb1_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T08:22:15.859Z NRCB3 2048 2048 0.09881512075662613 0.09819146 jw01324001001_16201_00002_nrcb3_rate.fits 001 001 NIRCAM 311.366
F200W 1.989 0.457 2022-06-29T09:10:13.347Z NRCB4 2048 2048 0.10876128822565079 0.10785142 jw01324001001_17201_00002_nrcb4_rate.fits 001 001 NIRCAM 1159.571
F090W 0.902 0.194 2022-06-28T23:47:58.430Z NRCB1 2048 2048 0.060021981596946716 0.059618413 jw01324001001_04201_00001_nrcb1_rate.fits 001 001 NIRCAM 311.366
F150W 1.501 0.318 2022-06-29T08:29:46.995Z NRCA1 2048 2048 0.10038149 0.09988721 jw01324001001_16201_00003_nrca1_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T06:20:56.390Z NRCB4 2048 2048 0.0810976 0.08072134 jw01324001001_12201_00003_nrcb4_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T06:06:37.639Z NRCA2 2048 2048 0.08056529 0.08094889 jw01324001001_12201_00001_nrca2_rate.fits 001 001 NIRCAM 311.366
F115W 1.154 0.225 2022-06-29T05:41:34.523Z NRCA3 2048 2048 0.0806720107793808 0.08049627 jw01324001001_11201_00004_nrca3_rate.fits 001 001 NIRCAM 1159.571
