filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,effexptime,PHOTMJSR,sb_mjsr
F444W,4.408,1.029,2022-06-07T06:35:38.903Z,NRCBLONG,2048,2048,0.6420441,0.63972634,jw02736001001_02105_00006_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.3728,0.23935404048
F150W,1.501,0.318,2022-06-07T03:12:11.171Z,NRCB3,2048,2048,0.0878182649612426,0.08691678,jw02736001001_02103_00002_nrcb3_rate.fits,1,1,NIRCAM,837.468,2.3518,0.20653099553585036
F150W,1.501,0.318,2022-06-07T04:59:54.717Z,NRCB1,2048,2048,0.08701068,0.08614555,jw02736001001_02103_00009_nrcb1_rate.fits,1,1,NIRCAM,837.468,2.4124,0.209904564432
F277W,2.762,0.683,2022-06-07T02:22:37.414Z,NRCALONG,2048,2048,0.19547294,0.195175,jw02736001001_02101_00008_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4908,0.09593811895200001
F150W,1.501,0.318,2022-06-07T03:27:34.818Z,NRCA1,2048,2048,0.0861506611108779,0.08571519,jw02736001001_02103_00003_nrca1_rate.fits,1,1,NIRCAM,837.468,2.2512,0.1939423682928083
F150W,1.501,0.318,2022-06-07T04:44:31.646Z,NRCA3,2048,2048,0.08529459,0.08496564,jw02736001001_02103_00008_nrca3_rate.fits,1,1,NIRCAM,837.468,2.2037,0.187963687983
F200W,1.989,0.457,2022-06-07T06:20:15.512Z,NRCB2,2048,2048,0.080293715,0.07900842,jw02736001001_02105_00005_nrcb2_rate.fits,1,1,NIRCAM,837.468,1.9519,0.15672530230850001
F200W,1.989,0.457,2022-06-07T06:51:02.614Z,NRCA4,2048,2048,0.0903466194868087,0.08992556,jw02736001001_02105_00007_nrca4_rate.fits,1,1,NIRCAM,837.468,1.8054,0.16311178682148442
F356W,3.568,0.781,2022-06-07T04:29:08.319Z,NRCALONG,2048,2048,0.2528813481330871,0.25274974,jw02736001001_02103_00007_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.4047,0.10234108158946036
F090W,0.902,0.194,2022-06-07T00:34:53.548Z,NRCB1,2048,2048,0.0541344843804836,0.05368824,jw02736001001_02101_00001_nrcb1_rate.fits,1,1,NIRCAM,837.468,3.564,0.19293530233204356
F150W,1.501,0.318,2022-06-07T03:27:34.562Z,NRCB4,2048,2048,0.099719375,0.09874146,jw02736001001_02103_00003_nrcb4_rate.fits,1,1,NIRCAM,837.468,2.0288,0.202310668
F277W,2.762,0.683,2022-06-07T01:51:50.376Z,NRCBLONG,2048,2048,0.2321386635303497,0.22692452,jw02736001001_02101_00006_nrcblong_rate.fits,1,1,NIRCAM,837.468,0.4175,0.096917892023921
F150W,1.501,0.318,2022-06-07T04:59:55.037Z,NRCA4,2048,2048,0.0957979,0.09540413,jw02736001001_02103_00009_nrca4_rate.fits,1,1,NIRCAM,837.468,2.1021,0.20137676559
F444W,4.408,1.029,2022-06-07T06:20:15.896Z,NRCALONG,2048,2048,0.6131208539009094,0.6153628,jw02736001001_02105_00005_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.3925,0.24064993515610697
F090W,0.902,0.194,2022-06-07T02:38:00.741Z,NRCA2,2048,2048,0.0606713593006134,0.060531426,jw02736001001_02101_00009_nrca2_rate.fits,1,1,NIRCAM,837.468,3.2824,0.19914766976833342
F444W,4.408,1.029,2022-06-07T07:06:26.006Z,NRCALONG,2048,2048,0.6138518,0.6160482,jw02736001001_02105_00008_nrcalong_rate.fits,1,1,NIRCAM,837.468,0.3925,0.24093683149999998
F090W,0.902,0.194,2022-06-07T01:05:40.267Z,NRCB2,2048,2048,0.0541571676731109,0.0537095,jw02736001001_02101_00003_nrcb2_rate.fits,1,1,NIRCAM,837.468,3.4274,0.1856182764828203
F090W,0.902,0.194,2022-06-07T01:36:26.985Z,NRCB3,2048,2048,0.0580212697386741,0.057664286,jw02736001001_02101_00005_nrcb3_rate.fits,1,1,NIRCAM,837.468,3.4248,0.19871124460101106
F090W,0.902,0.194,2022-06-07T01:21:03.914Z,NRCA1,2048,2048,0.059215672314167,0.05898895,jw02736001001_02101_00004_nrca1_rate.fits,1,1,NIRCAM,837.468,2.9961,0.17741607582047578
F200W,1.989,0.457,2022-06-07T05:33:54.715Z,NRCB4,2048,2048,0.0970493182539939,0.09557941,jw02736001001_02105_00002_nrcb4_rate.fits,1,1,NIRCAM,837.468,1.7715,0.17192286728695022
F200W,1.989,0.457,2022-06-07T07:06:25.942Z,NRCA4,2048,2048,0.085067265,0.08455248,jw02736001001_02105_00008_nrca4_rate.fits,1,1,NIRCAM,837.468,1.8054,0.153580440231
F090W,0.902,0.194,2022-06-07T01:51:50.632Z,NRCA2,2048,2048,0.0567356050014495,0.056611687,jw02736001001_02101_00006_nrca2_rate.fits,1,1,NIRCAM,837.468,3.2824,0.18622894985675784
F150W,1.501,0.318,2022-06-07T04:13:44.928Z,NRCA4,2048,2048,0.0907867848873138,0.09048945,jw02736001001_02103_00006_nrca4_rate.fits,1,1,NIRCAM,837.468,2.1021,0.19084290051162234
