filtername,wave,filtwidth,date,detector,x,y,median,median_clipped,filename,observtn,visit,instrument,PHOTMJSR,sb_mjsr
F070W,0.704,0.132,2022-05-05T23:51:02.193Z,NRCB2,2048,2048,0.028185898,0.027458234,jw01448003001_02101_00003_nrcb2_rate.fits,3,1,NIRCAM,4.3669,0.12308499797620001
F200W,1.989,0.457,2022-05-06T05:22:38.429Z,NRCB1,2048,2048,0.0816390961408615,0.08040231,jw01448006001_04101_00001_nrcb1_rate.fits,6,1,NIRCAM,2.0223,0.1650987441256642
F200W,1.989,0.457,2022-05-02T19:08:50.366Z,NRCB3,2048,2048,1.1930333,1.041777,jw01448001001_04101_00003_nrcb3_rate.fits,1,1,NIRCAM,1.9572,2.33500477476
F115W,1.154,0.225,2022-05-06T03:19:25.605Z,NRCB4,2048,2048,0.082962446,0.08247003,jw01448004001_06101_00002_nrcb4_rate.fits,4,1,NIRCAM,2.6985,0.223874160531
F115W,1.154,0.225,2022-04-29T07:11:22.014Z,NRCB3,2048,2048,0.039021056,0.03823457,jw01448002001_06101_00003_nrcb3_rate.fits,2,1,NIRCAM,3.1863,0.1243327907328
F115W,1.154,0.225,2022-05-03T00:38:23.851Z,NRCB1,2048,2048,0.051101435,0.04955682,jw01448005001_06101_00001_nrcb1_rate.fits,5,1,NIRCAM,3.2719,0.1671987851765
F200W,1.989,0.457,2022-04-29T11:44:37.710Z,NRCB4,2048,2048,0.2150297462940216,0.2144318,jw01448007001_04101_00002_nrcb4_rate.fits,7,1,NIRCAM,1.7715,0.38092519555985926
F150W,1.501,0.318,2022-05-06T00:30:13.615Z,NRCB2,2048,2048,0.0677591264247894,0.06731483,jw01448003001_08101_00001_nrcb2_rate.fits,3,1,NIRCAM,2.3054,0.15621189005970948
F070W,0.704,0.132,2022-04-29T06:35:56.128Z,NRCB4,2048,2048,-0.00022792222,0.0,jw01448002001_02101_00002_nrcb4_rate.fits,2,1,NIRCAM,3.798,-0.00086564859156
F070W,0.704,0.132,2022-05-06T02:51:41.350Z,NRCB3,2048,2048,0.042100191116333,0.041138593,jw01448004001_02101_00003_nrcb3_rate.fits,4,1,NIRCAM,4.4344,0.18668908748626706
F070W,0.704,0.132,2022-05-05T23:43:09.809Z,NRCB1,2048,2048,0.0194807164371013,0.01812839,jw01448003001_02101_00001_nrcb1_rate.fits,3,1,NIRCAM,4.474,0.08715672533959123
F070W,0.704,0.132,2022-05-02T18:45:23.840Z,NRCB3,2048,2048,0.1218662559986114,0.1207614,jw01448001001_02101_00001_nrcb3_rate.fits,1,1,NIRCAM,4.4344,0.5404037256002424
F356W,3.568,0.781,2022-05-06T00:14:39.471Z,NRCBLONG,2048,2048,0.22301568,0.22133474,jw01448003001_06101_00001_nrcblong_rate.fits,3,1,NIRCAM,0.376,0.08385389568
F115W,1.154,0.225,2022-04-29T09:54:40.020Z,NRCB3,2048,2048,0.3851149082183838,0.3620767,jw01448008001_06101_00003_nrcb3_rate.fits,8,1,NIRCAM,3.1863,1.2270916320562364
F070W,0.704,0.132,2022-05-06T05:15:07.486Z,NRCB1,2048,2048,0.03972681,0.03871344,jw01448006001_02101_00003_nrcb1_rate.fits,6,1,NIRCAM,4.474,0.17773774794000002
F277W,2.762,0.683,2022-04-29T06:31:59.904Z,NRCBLONG,2048,2048,0.2246706634759903,0.22288446,jw01448002001_02101_00001_nrcblong_rate.fits,2,1,NIRCAM,0.4175,0.09380000200122594
F115W,1.154,0.225,2022-04-29T11:56:58.509Z,NRCB3,2048,2048,0.1386962085962295,0.13824943,jw01448007001_06101_00001_nrcb3_rate.fits,7,1,NIRCAM,3.1863,0.44192772945016606
F150W,1.501,0.318,2022-05-06T06:02:00.539Z,NRCB2,2048,2048,0.0734185725450515,0.07223203,jw01448006001_08101_00003_nrcb2_rate.fits,6,1,NIRCAM,2.3054,0.16925917714536176
F200W,1.989,0.457,2022-05-06T00:06:25.584Z,NRCB1,2048,2048,0.0653890371322631,0.06454942,jw01448003001_04101_00003_nrcb1_rate.fits,3,1,NIRCAM,2.0223,0.13223624979257567
F200W,1.989,0.457,2022-05-06T02:59:23.110Z,NRCB3,2048,2048,0.0686862617731094,0.067635134,jw01448004001_04101_00001_nrcb3_rate.fits,4,1,NIRCAM,1.9572,0.1344327515423297
F070W,0.704,0.132,2022-04-29T09:19:24.886Z,NRCB4,2048,2048,0.14422488,0.14142124,jw01448008001_02101_00002_nrcb4_rate.fits,8,1,NIRCAM,3.798,0.54776609424
F070W,0.704,0.132,2022-05-06T05:07:15.102Z,NRCB2,2048,2048,0.04625027,0.045183014,jw01448006001_02101_00001_nrcb2_rate.fits,6,1,NIRCAM,4.3669,0.201970304063
F150W,1.501,0.318,2022-05-06T05:54:08.156Z,NRCB1,2048,2048,0.0743264183402061,0.073024,jw01448006001_08101_00001_nrcb1_rate.fits,6,1,NIRCAM,2.4124,0.1793050516039132
F150W,1.501,0.318,2022-05-02T19:39:58.589Z,NRCB3,2048,2048,0.6687240600585938,0.6281801,jw01448001001_08101_00003_nrcb3_rate.fits,1,1,NIRCAM,2.3518,1.5727052444458007
