detector,filtername,observtn,wave,filtwidth,x,y,median,median_clipped,visit,sb_mjsr,sb_mjsr_std,shortdet
MIRIMAGE,F560W,4,5.6,1.2,1024.0,1032.0,1.5971313118934631,1.5956131219863892,1.0,1.5971313118934631,0.05873582005932874,MIRI
MIRIMAGE,F560W,5,5.6,1.2,1024.0,1032.0,1.6258891224861145,1.6227946281433103,1.0,1.6258891224861145,0.05366056437167159,MIRI
MIRIMAGE,F560W,6,5.6,1.2,1024.0,1032.0,1.6343767046928406,1.632099449634552,1.0,1.6343767046928406,0.05988608550508204,MIRI
MIRIMAGE,F560W,7,5.6,1.2,1024.0,1032.0,3.5844210386276245,3.580993175506592,1.0,3.5844210386276245,0.08644897834481916,MIRI
MIRIMAGE,F560W,8,5.6,1.2,1024.0,1032.0,12.884674072265623,12.403775215148926,1.0,12.884674072265623,0.0474208782581892,MIRI
MIRIMAGE,F770W,1,7.7,2.2,1024.0,1032.0,80.37022018432617,77.20303726196289,1.0,80.37022018432617,0.2233835485961802,MIRI
MIRIMAGE,F770W,2,7.7,2.2,1024.0,1032.0,5.045274019241333,5.0457234382629395,1.0,5.045274019241333,0.02004936178285631,MIRI
MIRIMAGE,F770W,3,7.7,2.2,1024.0,1032.0,4.988527536392212,4.9909772872924805,1.0,4.988527536392212,0.02057874765131726,MIRI
MIRIMAGE,F770W,4,7.7,2.2,1024.0,1032.0,5.277617692947388,5.279783725738525,1.0,5.277617692947388,0.022425717770959853,MIRI
MIRIMAGE,F770W,5,7.7,2.2,1024.0,1032.0,5.006161212921143,5.006946086883545,1.0,5.006161212921143,0.02066772151795014,MIRI
MIRIMAGE,F770W,6,7.7,2.2,1024.0,1032.0,5.225691556930542,5.227461338043213,1.0,5.225691556930542,0.021396695712455442,MIRI
MIRIMAGE,F770W,7,7.7,2.2,1024.0,1032.0,13.092029571533203,13.093153953552246,1.0,13.092029571533203,0.04299546467469093,MIRI
MIRIMAGE,F770W,8,7.7,2.2,1024.0,1032.0,63.304813385009766,63.39211082458496,1.0,63.304813385009766,0.132344984115717,MIRI
NIS,F115W,12,1.154,0.225,2048.0,2048.0,0.16914205,0.1685328,1.0,0.16914205,,NIS
NIS,F115W,13,1.154,0.225,2048.0,2048.0,0.15522641,0.15467668,1.0,0.15522641,,NIS
NIS,F115W,14,1.154,0.225,2048.0,2048.0,0.18426731,0.18317564,1.0,0.18426731,,NIS
NIS,F115W,15,1.154,0.225,2048.0,2048.0,0.18359807,0.18187538,1.0,0.18359807,,NIS
NIS,F115W,16,1.154,0.225,2048.0,2048.0,0.17949483,0.17794396,1.0,0.17949483,,NIS
NIS,F200W,12,1.989,0.457,2048.0,2048.0,0.13958329,0.13887429,1.0,0.13958329,,NIS
NIS,F200W,13,1.989,0.457,2048.0,2048.0,0.12637666,0.12574047,1.0,0.12637666,,NIS
NIS,F200W,14,1.989,0.457,2048.0,2048.0,0.13896304,0.1376038,1.0,0.13896304,,NIS
NIS,F200W,15,1.989,0.457,2048.0,2048.0,0.1502209,0.14853573,1.0,0.1502209,,NIS
NIS,F200W,16,1.989,0.457,2048.0,2048.0,0.13333264,0.13180918,1.0,0.13333264,,NIS
