filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument
F070W 0.704 0.132 2022-05-06T05:15:07.486Z NRCB3 2048 2048 0.038445942 0.037389435 jw01448006001_02101_00003_nrcb3_rate.fits 006 001 NIRCAM
F115W 1.154 0.225 2022-04-29T09:54:40.020Z NRCB1 2048 2048 0.37370336055755615 0.35362348 jw01448008001_06101_00003_nrcb1_rate.fits 008 001 NIRCAM
F200W 1.989 0.457 2022-05-06T00:06:25.648Z NRCB3 2048 2048 0.0690794587135315 0.068486944 jw01448003001_04101_00003_nrcb3_rate.fits 003 001 NIRCAM
F200W 1.989 0.457 2022-05-06T02:59:23.046Z NRCB1 2048 2048 0.07135973 0.0704331 jw01448004001_04101_00001_nrcb1_rate.fits 004 001 NIRCAM
F356W 3.568 0.781 2022-05-06T03:19:25.605Z NRCBLONG 2048 2048 0.28242573142051697 0.28016573 jw01448004001_06101_00002_nrcblong_rate.fits 004 001 NIRCAM
F115W 1.154 0.225 2022-05-06T05:42:40.988Z NRCB4 2048 2048 0.06005652993917465 0.05854854 jw01448006001_06101_00002_nrcb4_rate.fits 006 001 NIRCAM
F277W 2.762 0.683 2022-05-03T00:11:01.101Z NRCBLONG 2048 2048 0.23322676 0.23018068 jw01448005001_02101_00002_nrcblong_rate.fits 005 001 NIRCAM
F115W 1.154 0.225 2022-04-29T11:56:58.573Z NRCB1 2048 2048 0.14762911200523376 0.14708948 jw01448007001_06101_00001_nrcb1_rate.fits 007 001 NIRCAM
F150W 1.501 0.318 2022-05-02T19:32:06.205Z NRCB2 2048 2048 0.6709408164024353 0.6219064 jw01448001001_08101_00001_nrcb2_rate.fits 001 001 NIRCAM
F200W 1.989 0.457 2022-05-03T00:26:24.492Z NRCB4 2048 2048 0.08020329475402832 0.078187495 jw01448005001_04101_00002_nrcb4_rate.fits 005 001 NIRCAM
F277W 2.762 0.683 2022-04-29T11:25:18.095Z NRCBLONG 2048 2048 0.5293002128601074 0.5278644 jw01448007001_02101_00001_nrcblong_rate.fits 007 001 NIRCAM
F070W 0.704 0.132 2022-05-02T18:53:16.287Z NRCB2 2048 2048 0.12964478135108948 0.12889823 jw01448001001_02101_00003_nrcb2_rate.fits 001 001 NIRCAM
F115W 1.154 0.225 2022-04-29T09:46:47.637Z NRCB2 2048 2048 0.37631336 0.35173938 jw01448008001_06101_00001_nrcb2_rate.fits 008 001 NIRCAM
F356W 3.568 0.781 2022-05-06T05:38:44.764Z NRCBLONG 2048 2048 0.24881883 0.2454124 jw01448006001_06101_00001_nrcblong_rate.fits 006 001 NIRCAM
F200W 1.989 0.457 2022-05-06T03:07:15.493Z NRCB2 2048 2048 0.07644370198249817 0.07551888 jw01448004001_04101_00003_nrcb2_rate.fits 004 001 NIRCAM
F150W 1.501 0.318 2022-05-06T05:54:08.156Z NRCB3 2048 2048 0.08108373 0.07976366 jw01448006001_08101_00001_nrcb3_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-05-02T19:39:58.589Z NRCB1 2048 2048 0.6348445415496826 0.6090573 jw01448001001_08101_00003_nrcb1_rate.fits 001 001 NIRCAM
F115W 1.154 0.225 2022-04-29T12:04:50.956Z NRCB2 2048 2048 0.14512968 0.14486901 jw01448007001_06101_00003_nrcb2_rate.fits 007 001 NIRCAM
F277W 2.762 0.683 2022-05-06T05:11:11.326Z NRCBLONG 2048 2048 0.19699845 0.19362494 jw01448006001_02101_00002_nrcblong_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-05-06T03:34:48.996Z NRCB2 2048 2048 0.09009873121976852 0.08938408 jw01448004001_08101_00002_nrcb2_rate.fits 004 001 NIRCAM
F115W 1.154 0.225 2022-04-29T07:07:25.790Z NRCB1 2048 2048 0.060835477 0.060436722 jw01448002001_06101_00002_nrcb1_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-05-06T00:14:39.535Z NRCB4 2048 2048 0.04480833560228348 0.04414565 jw01448003001_06101_00001_nrcb4_rate.fits 003 001 NIRCAM
F356W 3.568 0.781 2022-04-29T12:00:54.733Z NRCBLONG 2048 2048 0.58762294 0.5860223 jw01448007001_06101_00002_nrcblong_rate.fits 007 001 NIRCAM
F200W 1.989 0.457 2022-05-02T19:04:54.143Z NRCB1 2048 2048 1.1085641384124756 1.0007334 jw01448001001_04101_00002_nrcb1_rate.fits 001 001 NIRCAM
F070W 0.704 0.132 2022-05-06T02:47:45.126Z NRCB1 2048 2048 0.048937827348709106 0.048408724 jw01448004001_02101_00002_nrcb1_rate.fits 004 001 NIRCAM
F070W 0.704 0.132 2022-05-03T00:07:04.877Z NRCB4 2048 2048 0.043932024 0.04246273 jw01448005001_02101_00001_nrcb4_rate.fits 005 001 NIRCAM
F150W 1.501 0.318 2022-05-06T00:34:09.838Z NRCB3 2048 2048 0.08133228 0.080758944 jw01448003001_08101_00002_nrcb3_rate.fits 003 001 NIRCAM
F150W 1.501 0.318 2022-05-03T01:01:50.378Z NRCB4 2048 2048 0.08210156 0.080203794 jw01448005001_08101_00003_nrcb4_rate.fits 005 001 NIRCAM
F356W 3.568 0.781 2022-05-03T00:38:23.851Z NRCBLONG 2048 2048 0.2518877387046814 0.24894366 jw01448005001_06101_00001_nrcblong_rate.fits 005 001 NIRCAM
F277W 2.762 0.683 2022-05-06T02:43:48.967Z NRCBLONG 2048 2048 0.20547308 0.20312849 jw01448004001_02101_00001_nrcblong_rate.fits 004 001 NIRCAM
F070W 0.704 0.132 2022-05-05T23:43:09.809Z NRCB4 2048 2048 0.016674867 0.015677443 jw01448003001_02101_00001_nrcb4_rate.fits 003 001 NIRCAM
F070W 0.704 0.132 2022-04-29T06:35:56.128Z NRCB1 2048 2048 0.0299037154763937 0.029006824 jw01448002001_02101_00002_nrcb1_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-05-03T00:38:23.851Z NRCB4 2048 2048 0.0740608274936676 0.072328106 jw01448005001_06101_00001_nrcb4_rate.fits 005 001 NIRCAM
F200W 1.989 0.457 2022-04-29T11:44:37.710Z NRCB1 2048 2048 0.18404293060302734 0.18344608 jw01448007001_04101_00002_nrcb1_rate.fits 007 001 NIRCAM
F200W 1.989 0.457 2022-05-06T05:22:38.429Z NRCB4 2048 2048 0.06540578 0.063721895 jw01448006001_04101_00001_nrcb4_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-04-29T07:22:59.933Z NRCB2 2048 2048 0.076835886 0.07618459 jw01448002001_08101_00002_nrcb2_rate.fits 002 001 NIRCAM
F115W 1.154 0.225 2022-05-06T03:19:25.605Z NRCB1 2048 2048 0.06804966926574707 0.067399174 jw01448004001_06101_00002_nrcb1_rate.fits 004 001 NIRCAM
F200W 1.989 0.457 2022-04-29T09:34:48.277Z NRCB2 2048 2048 1.072745 0.8940285 jw01448008001_04101_00002_nrcb2_rate.fits 008 001 NIRCAM
F444W 4.408 1.029 2022-05-06T05:30:30.877Z NRCBLONG 2048 2048 0.7122619152069092 0.7088119 jw01448006001_04101_00003_nrcblong_rate.fits 006 001 NIRCAM
F150W 1.501 0.318 2022-05-06T00:38:06.062Z NRCB4 2048 2048 0.06809540092945099 0.06737576 jw01448003001_08101_00003_nrcb4_rate.fits 003 001 NIRCAM
F480M 4.874 0.3 2022-04-29T07:26:56.093Z NRCBLONG 2048 2048 0.24511135 0.24443111 jw01448002001_08101_00003_nrcblong_rate.fits 002 001 NIRCAM
