filtername wave filtwidth date detector x y median median_clipped filename observtn visit instrument effexptime
F115W 1.154 0.225 2022-08-26T03:49:09.799Z NRCA1 2048 2048 0.060382422 0.060223084 jw02738002001_10101_00004_nrca1_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-30T04:23:38.890Z NRCB2 2048 2048 0.07067063 0.07032937 jw02738002002_02101_00001_nrcb2_rate.fits 002 002 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:19:23.128Z NRCA2 2048 2048 0.05366495996713638 0.053509563 jw02738002001_04101_00003_nrca2_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-30T04:32:14.282Z NRCA3 2048 2048 0.07639944 0.076021016 jw02738002002_02101_00002_nrca3_rate.fits 002 002 NIRCAM 418.734
F200W 1.989 0.457 2022-08-26T04:24:14.188Z NRCA4 2048 2048 0.07529819 0.07483489 jw02738002001_12101_00003_nrca4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:39:07.265Z NRCB2 2048 2048 0.07007988 0.0696563 jw02738002001_02101_00004_nrcb2_rate.fits 002 001 NIRCAM 418.734
F356W 3.568 0.781 2022-08-30T04:23:38.890Z NRCBLONG 2048 2048 0.23673874139785767 0.23588729 jw02738002002_02101_00001_nrcblong_rate.fits 002 002 NIRCAM 418.734
F277W 2.762 0.683 2022-08-26T04:07:14.221Z NRCALONG 2048 2048 0.16178836 0.16154575 jw02738002001_12101_00001_nrcalong_rate.fits 002 001 NIRCAM 418.734
F444W 4.408 1.029 2022-08-26T01:05:47.001Z NRCBLONG 2048 2048 0.6907316446304321 0.69095594 jw02738002001_04101_00002_nrcblong_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:54:56.369Z NRCB1 2048 2048 0.06555043160915375 0.06523922 jw02738002001_08101_00004_nrcb1_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T00:52:00.378Z NRCA1 2048 2048 0.054201 0.054062434 jw02738002001_04101_00001_nrca1_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:46:31.921Z NRCA2 2048 2048 0.06421293318271637 0.063950695 jw02738002001_08101_00003_nrca2_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T02:08:14.204Z NRCB4 2048 2048 0.08289375 0.08213078 jw02738002001_06101_00003_nrcb4_rate.fits 002 001 NIRCAM 418.734
F150W 1.501 0.318 2022-08-26T00:22:17.986Z NRCB3 2048 2048 0.07585587352514267 0.07530376 jw02738002001_02101_00002_nrcb3_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:07:49.418Z NRCB1 2048 2048 0.056640346 0.056488004 jw02738002001_10101_00001_nrcb1_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:30:42.689Z NRCA1 2048 2048 0.07642055 0.07613343 jw02738002001_02101_00003_nrca1_rate.fits 002 001 NIRCAM 418.734
F090W 0.902 0.194 2022-08-26T01:32:58.999Z NRCB1 2048 2048 0.0483024 0.048157543 jw02738002001_04101_00004_nrcb1_rate.fits 002 001 NIRCAM 730.1
F200W 1.989 0.457 2022-08-26T02:29:31.952Z NRCA1 2048 2048 0.064512886 0.064151704 jw02738002001_08101_00001_nrca1_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:35:22.920Z NRCB2 2048 2048 0.05907610058784485 0.058884602 jw02738002001_10101_00003_nrcb2_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:13:42.722Z NRCA2 2048 2048 0.07059512287378311 0.07031888 jw02738002001_02101_00001_nrca2_rate.fits 002 001 NIRCAM 418.734
F115W 1.154 0.225 2022-08-26T03:07:49.546Z NRCA4 2048 2048 0.06658598 0.06628123 jw02738002001_10101_00001_nrca4_rate.fits 002 001 NIRCAM 730.1
F150W 1.501 0.318 2022-08-26T00:30:42.625Z NRCB4 2048 2048 0.08564427495002747 0.08494214 jw02738002001_02101_00003_nrcb4_rate.fits 002 001 NIRCAM 418.734
